option,type,temperature,Year
Chicago Area,Jul,71.2,2004
Chicago Area,Aug,67.5,2004
Chicago Area,Sep,66.5,2004
Chicago Area,Oct,53.9,2004
Chicago Area,Nov,43.7,2004
Chicago Area,Dec,28.9,2004
Chicago Area,Annual,49.8,2004
Chicago Area,Jan,24.5,2005
Chicago Area,Feb,32.4,2005
Chicago Area,Mar,35.0,2005
Chicago Area,Apr,51.5,2005
Chicago Area,May,57.1,2005
Chicago Area,Jun,74.2,2005
Chicago Area,Jul,75.6,2005
Chicago Area,Aug,74.3,2005
Chicago Area,Sep,69.4,2005
Chicago Area,Oct,55.2,2005
Chicago Area,Nov,42.0,2005
Chicago Area,Dec,23.3,2005
Chicago Area,Annual,51.2,2005
Chicago Area,Jan,35.8,2006
Chicago Area,Feb,28.2,2006
Chicago Area,Mar,38.3,2006
Chicago Area,Apr,53.1,2006
Chicago Area,May,59.6,2006
Chicago Area,Jun,68.3,2006
Chicago Area,Jul,76.5,2006
Chicago Area,Aug,74.3,2006
Chicago Area,Sep,62.4,2006
Chicago Area,Oct,49.0,2006
Chicago Area,Nov,42.8,2006
Chicago Area,Dec,33.8,2006
Chicago Area,Annual,51.8,2006
Chicago Area,Jan,27.9,2007
Chicago Area,Feb,17.9,2007
Chicago Area,Mar,42.5,2007
Chicago Area,Apr,46.8,2007
Chicago Area,May,63.8,2007
Chicago Area,Jun,71.3,2007
Chicago Area,Jul,73.7,2007
Chicago Area,Aug,74.8,2007
Chicago Area,Sep,68.1,2007
Chicago Area,Oct,59.0,2007
Chicago Area,Nov,39.4,2007
Chicago Area,Dec,27.8,2007
Chicago Area,Annual,51.1,2007
Chicago Area,Jan,23.5,2008
Chicago Area,Feb,23.0,2008
Chicago Area,Mar,34.9,2008
Chicago Area,Apr,49.4,2008
Chicago Area,May,55.5,2008
Chicago Area,Jun,70.8,2008
Chicago Area,Jul,74.0,2008
Chicago Area,Aug,72.7,2008
Chicago Area,Sep,66.1,2008
Chicago Area,Oct,52.6,2008
Chicago Area,Nov,39.3,2008
Chicago Area,Dec,22.9,2008
Chicago Area,Annual,48.7,2008
Chicago Area,Jan,15.8,2009
Chicago Area,Feb,28.2,2009
Chicago Area,Mar,39.6,2009
Chicago Area,Apr,47.3,2009
Chicago Area,May,59.9,2009
Chicago Area,Jun,67.6,2009
Chicago Area,Jul,69.4,2009
Chicago Area,Aug,70.5,2009
Chicago Area,Sep,65.4,2009
Chicago Area,Oct,48.8,2009
Chicago Area,Nov,45.3,2009
Chicago Area,Dec,26.5,2009
Chicago Area,Annual,48.7,2009
Chicago Area,Jan,21.9,2010
Chicago Area,Feb,26.7,2010
Chicago Area,Mar,41.7,2010
Chicago Area,Apr,54.6,2010
Chicago Area,May,61.7,2010
Chicago Area,Jun,71.2,2010
Chicago Area,Jul,77.6,2010
Chicago Area,Aug,76.7,2010
Chicago Area,Sep,65.1,2010
Chicago Area,Oct,56.0,2010
Chicago Area,Nov,41.5,2010
Chicago Area,Dec,22.5,2010
Chicago Area,Annual,51.4,2010
Chicago Area,Jan,20.6,2011
Chicago Area,Feb,26.2,2011
Chicago Area,Mar,36.3,2011
Chicago Area,Apr,47.7,2011
Chicago Area,May,57.9,2011
Chicago Area,Jun,69.5,2011
Chicago Area,Jul,79.0,2011
Chicago Area,Aug,73.5,2011
Chicago Area,Sep,62.2,2011
Chicago Area,Oct,54.9,2011
Chicago Area,Nov,44.9,2011
Chicago Area,Dec,35.2,2011
Chicago Area,Annual,50.7,2011
Chicago Area,Jan,30.2,2012
Chicago Area,Feb,32.9,2012
Chicago Area,Mar,53.5,2012
Chicago Area,Apr,50.7,2012
Chicago Area,May,65.6,2012
Chicago Area,Jun,74.0,2012
Chicago Area,Jul,81.0,2012
Chicago Area,Aug,73.3,2012
Chicago Area,Sep,64.1,2012
Chicago Area,Oct,51.5,2012
Chicago Area,Nov,40.5,2012
Chicago Area,Dec,36.1,2012
Chicago Area,Annual,54.5,2012
Chicago Area,Jan,26.6,2013
Chicago Area,Feb,26.1,2013
Chicago Area,Mar,32.6,2013
Chicago Area,Apr,46.9,2013
Chicago Area,May,61.0,2013
Chicago Area,Jun,68.5,2013
Chicago Area,Jul,73.2,2013
Chicago Area,Aug,73.0,2013
Chicago Area,Sep,67.2,2013
Chicago Area,Oct,53.1,2013
Chicago Area,Nov,37.5,2013
Chicago Area,Dec,23.3,2013
Chicago Area,Annual,49.1,2013
Chicago Area,Jan,15.7,2014
Chicago Area,Feb,17.3,2014
Chicago Area,Mar,31.7,2014
Chicago Area,Apr,48.6,2014
Chicago Area,May,60.4,2014
Chicago Area,Jun,70.9,2014
Chicago Area,Jul,70.4,2014
Chicago Area,Aug,73.7,2014
Chicago Area,Sep,63.9,2014
Chicago Area,Oct,52.0,2014
Chicago Area,Nov,33.6,2014
Chicago Area,Dec,32.0,2014
Chicago Area,Annual,47.5,2014
Chicago Area,Jan,22.3,2015
Chicago Area,Feb,14.6,2015
Chicago Area,Mar,35.4,2015
Chicago Area,Apr,49.4,2015
Chicago Area,May,60.4,2015
Chicago Area,Jun,67.4,2015
Chicago Area,Jul,72.3,2015
Chicago Area,Aug,71.8,2015
Chicago Area,Sep,69.0,2015
Chicago Area,Oct,54.7,2015
Chicago Area,Nov,44.6,2015
Chicago Area,Dec,39.0,2015
Chicago Area,Annual,50.1,2015
Chicago Area,Jan,24.7,2016
Chicago Area,Feb,30.4,2016
Chicago Area,Mar,43.3,2016
Chicago Area,Apr,47.8,2016
Chicago Area,May,59.7,2016
Chicago Area,Jun,71.6,2016
Chicago Area,Jul,75.5,2016
Chicago Area,Aug,75.8,2016
Chicago Area,Sep,69.6,2016
Chicago Area,Oct,56.9,2016
Chicago Area,Nov,46.8,2016
Chicago Area,Dec,25.0,2016
Chicago Area,Annual,52.3,2016
Chicago Area,Jan,28.8,2017
Chicago Area,Feb,38.0,2017
Chicago Area,Mar,39.5,2017
Chicago Area,Apr,53.7,2017
Chicago Area,May,57.9,2017
Chicago Area,Jun,72.4,2017
Chicago Area,Jul,74.6,2017
Chicago Area,Aug,71.5,2017
Chicago Area,Sep,69.4,2017
Chicago Area,Oct,57.6,2017
Chicago Area,Nov,39.7,2017
Chicago Area,Dec,27.2,2017
Chicago Area,Annual,52.5,2017
Chicago Area,Jan,24.6,2018
Chicago Area,Feb,28.8,2018
Chicago Area,Mar,36.9,2018
Chicago Area,Apr,41.2,2018
Chicago Area,May,66.1,2018
Chicago Area,Jun,71.5,2018
Chicago Area,Jul,76.2,2018
Chicago Area,Aug,76.3,2018
Chicago Area,Sep,68.9,2018
Chicago Area,Oct,52.7,2018
Chicago Area,Nov,34.6,2018
Chicago Area,Dec,33.2,2018
Chicago Area,Annual,50.9,2018
Chicago Area,Jan,21.0,2019
Chicago Area,Feb,25.9,2019
Chicago Area,Mar,34.3,2019
Chicago Area,Apr,49.7,2019
Chicago Area,May,58.0,2019
Chicago Area,Jun,67.8,2019
Chicago Area,Jul,77.1,2019
Chicago Area,Aug,72.9,2019
Chicago Area,Sep,69.4,2019
Chicago Area,Oct,50.9,2019
Chicago Area,Nov,34.8,2019
Chicago Area,Dec,34.0,2019
Chicago Area,Annual,49.6,2019
Chicago Area,Jan,30.1,2020
Chicago Area,Feb,30.2,2020
Chicago Area,Mar,42.8,2020
Chicago Area,Apr,48.4,2020
Chicago Area,May,59.9,2020
Chicago Area,Jun,74.0,2020
Chicago Area,Jul,79.2,2020
Chicago Area,Aug,76.8,2020
Chicago Area,Sep,66.3,2020
Chicago Area,Oct,51.5,2020
Chicago Area,Nov,47.4,2020
Chicago Area,Dec,32.8,2020
Chicago Area,Annual,53.3,2020
Chicago Area,Jan,29.2,2021
Chicago Area,Feb,20.2,2021
Chicago Area,Mar,44.2,2021
Chicago Area,Apr,51.9,2021
Chicago Area,May,60.2,2021
Chicago Area,Jun,74.3,2021
Chicago Area,Jul,74.4,2021
Chicago Area,Aug,77.1,2021
Chicago Area,Sep,70.3,2021
Chicago Area,Oct,59.7,2021
Chicago Area,Nov,40.3,2021
Chicago Area,Dec,38.0,2021
Chicago Area,Annual,53.3,2021
Chicago Area,Jan,20.6,2022
Chicago Area,Feb,27.4,2022
Chicago Area,Mar,40.7,2022
Chicago Area,Apr,47.0,2022
Chicago Area,May,63.7,2022
Chicago Area,Jun,72.2,2022
Chicago Area,Jul,75.3,2022
Chicago Area,Aug,74.4,2022
Chicago Area,Sep,67.4,2022
Chicago Area,Oct,54.0,2022
Chicago Area,Nov,43.4,2022
Chicago Area,Dec,29.1,2022
Chicago Area,Annual,51.3,2022
Chicago Area,Jan,32.3,2023
Chicago Area,Feb,33.9,2023
Chicago Area,Mar,38.8,2023
Chicago Area,Apr,51.8,2023
Chicago Area,May,62.4,2023
Chicago Area,Jun,70.8,2023
Chicago Area,Jul,75.7,2023
Chicago Area,Aug,74.3,2023
Chicago Area,Sep,69.5,2023
Chicago Area,Oct,57.1,2023
Chicago Area,Nov,M,2023
Chicago Area,Dec,M,2023
Chicago Area,Annual,56.7,2023
Rockford Area,Jan,21.6,2000
Rockford Area,Feb,31.1,2000
Rockford Area,Mar,43.0,2000
Rockford Area,Apr,47.7,2000
Rockford Area,May,61.5,2000
Rockford Area,Jun,66.7,2000
Rockford Area,Jul,71.0,2000
Rockford Area,Aug,71.6,2000
Rockford Area,Sep,63.5,2000
Rockford Area,Oct,54.8,2000
Rockford Area,Nov,35.8,2000
Rockford Area,Dec,12.5,2000
Rockford Area,Annual,48.4,2000
Rockford Area,Jan,21.0,2001
Rockford Area,Feb,22.4,2001
Rockford Area,Mar,33.4,2001
Rockford Area,Apr,53.4,2001
Rockford Area,May,61.1,2001
Rockford Area,Jun,67.6,2001
Rockford Area,Jul,75.2,2001
Rockford Area,Aug,72.8,2001
Rockford Area,Sep,61.1,2001
Rockford Area,Oct,50.5,2001
Rockford Area,Nov,47.6,2001
Rockford Area,Dec,31.8,2001
Rockford Area,Annual,49.8,2001
Rockford Area,Jan,30.0,2002
Rockford Area,Feb,31.0,2002
Rockford Area,Mar,33.0,2002
Rockford Area,Apr,48.7,2002
Rockford Area,May,54.8,2002
Rockford Area,Jun,70.6,2002
Rockford Area,Jul,76.8,2002
Rockford Area,Aug,72.6,2002
Rockford Area,Sep,66.0,2002
Rockford Area,Oct,48.0,2002
Rockford Area,Nov,35.5,2002
Rockford Area,Dec,28.7,2002
Rockford Area,Annual,49.6,2002
Rockford Area,Jan,19.2,2003
Rockford Area,Feb,21.7,2003
Rockford Area,Mar,35.0,2003
Rockford Area,Apr,48.4,2003
Rockford Area,May,57.3,2003
Rockford Area,Jun,66.7,2003
Rockford Area,Jul,71.9,2003
Rockford Area,Aug,74.3,2003
Rockford Area,Sep,62.9,2003
Rockford Area,Oct,51.2,2003
Rockford Area,Nov,39.4,2003
Rockford Area,Dec,30.0,2003
Rockford Area,Annual,48.2,2003
Rockford Area,Jan,18.4,2004
Rockford Area,Feb,25.8,2004
Rockford Area,Mar,40.6,2004
Rockford Area,Apr,50.4,2004
Rockford Area,May,60.6,2004
Rockford Area,Jun,67.6,2004
Rockford Area,Jul,70.3,2004
Rockford Area,Aug,66.0,2004
Rockford Area,Sep,65.3,2004
Rockford Area,Oct,52.4,2004
Rockford Area,Nov,41.5,2004
Rockford Area,Dec,26.3,2004
Rockford Area,Annual,48.8,2004
Rockford Area,Jan,21.3,2005
Rockford Area,Feb,30.4,2005
Rockford Area,Mar,34.2,2005
Rockford Area,Apr,52.6,2005
Rockford Area,May,56.9,2005
Rockford Area,Jun,74.3,2005
Rockford Area,Jul,74.2,2005
Rockford Area,Aug,72.5,2005
Rockford Area,Sep,68.4,2005
Rockford Area,Oct,53.7,2005
Rockford Area,Nov,40.5,2005
Rockford Area,Dec,19.9,2005
Rockford Area,Annual,49.9,2005
Rockford Area,Jan,33.5,2006
Rockford Area,Feb,26.4,2006
Rockford Area,Mar,36.9,2006
Rockford Area,Apr,52.7,2006
Rockford Area,May,59.6,2006
Rockford Area,Jun,67.6,2006
Rockford Area,Jul,75.1,2006
Rockford Area,Aug,72.3,2006
Rockford Area,Sep,60.8,2006
Rockford Area,Oct,47.8,2006
Rockford Area,Nov,41.4,2006
Rockford Area,Dec,31.3,2006
Rockford Area,Annual,50.4,2006
Rockford Area,Jan,25.8,2007
Rockford Area,Feb,15.9,2007
Rockford Area,Mar,42.5,2007
Rockford Area,Apr,47.3,2007
Rockford Area,May,64.9,2007
Rockford Area,Jun,70.8,2007
Rockford Area,Jul,73.2,2007
Rockford Area,Aug,74.5,2007
Rockford Area,Sep,66.9,2007
Rockford Area,Oct,58.5,2007
Rockford Area,Nov,38.2,2007
Rockford Area,Dec,25.1,2007
Rockford Area,Annual,50.3,2007
Rockford Area,Jan,21.0,2008
Rockford Area,Feb,20.2,2008
Rockford Area,Mar,33.8,2008
Rockford Area,Apr,50.0,2008
Rockford Area,May,57.2,2008
Rockford Area,Jun,70.5,2008
Rockford Area,Jul,73.2,2008
Rockford Area,Aug,71.3,2008
Rockford Area,Sep,65.7,2008
Rockford Area,Oct,51.8,2008
Rockford Area,Nov,38.8,2008
Rockford Area,Dec,19.4,2008
Rockford Area,Annual,47.7,2008
Rockford Area,Jan,13.8,2009
Rockford Area,Feb,26.2,2009
Rockford Area,Mar,38.9,2009
Rockford Area,Apr,48.6,2009
Rockford Area,May,59.1,2009
Rockford Area,Jun,68.4,2009
Rockford Area,Jul,67.0,2009
Rockford Area,Aug,68.1,2009
Rockford Area,Sep,63.9,2009
Rockford Area,Oct,47.2,2009
Rockford Area,Nov,43.7,2009
Rockford Area,Dec,23.6,2009
Rockford Area,Annual,47.4,2009
Rockford Area,Jan,18.3,2010
Rockford Area,Feb,24.2,2010
Rockford Area,Mar,41.3,2010
Rockford Area,Apr,54.8,2010
Rockford Area,May,61.6,2010
Rockford Area,Jun,70.4,2010
Rockford Area,Jul,75.4,2010
Rockford Area,Aug,74.6,2010
Rockford Area,Sep,64.7,2010
Rockford Area,Oct,55.4,2010
Rockford Area,Nov,41.6,2010
Rockford Area,Dec,20.4,2010
Rockford Area,Annual,50.2,2010
Rockford Area,Jan,19.9,2011
Rockford Area,Feb,24.6,2011
Rockford Area,Mar,37.4,2011
Rockford Area,Apr,48.9,2011
Rockford Area,May,59.6,2011
Rockford Area,Jun,70.3,2011
Rockford Area,Jul,78.9,2011
Rockford Area,Aug,72.6,2011
Rockford Area,Sep,61.4,2011
Rockford Area,Oct,53.7,2011
Rockford Area,Nov,41.5,2011
Rockford Area,Dec,32.6,2011
Rockford Area,Annual,50.1,2011
Rockford Area,Jan,27.4,2012
Rockford Area,Feb,30.5,2012
Rockford Area,Mar,52.4,2012
Rockford Area,Apr,50.0,2012
Rockford Area,May,65.1,2012
Rockford Area,Jun,72.9,2012
Rockford Area,Jul,80.8,2012
Rockford Area,Aug,71.8,2012
Rockford Area,Sep,62.9,2012
Rockford Area,Oct,50.5,2012
Rockford Area,Nov,39.2,2012
Rockford Area,Dec,33.4,2012
Rockford Area,Annual,53.1,2012
Rockford Area,Jan,24.3,2013
Rockford Area,Feb,23.6,2013
Rockford Area,Mar,29.5,2013
Rockford Area,Apr,46.8,2013
Rockford Area,May,62.0,2013
Rockford Area,Jun,69.3,2013
Rockford Area,Jul,72.6,2013
Rockford Area,Aug,72.1,2013
Rockford Area,Sep,66.5,2013
Rockford Area,Oct,51.7,2013
Rockford Area,Nov,35.3,2013
Rockford Area,Dec,19.4,2013
Rockford Area,Annual,47.8,2013
Rockford Area,Jan,12.0,2014
Rockford Area,Feb,12.4,2014
Rockford Area,Mar,29.6,2014
Rockford Area,Apr,48.5,2014
Rockford Area,May,61.0,2014
Rockford Area,Jun,70.9,2014
Rockford Area,Jul,69.1,2014
Rockford Area,Aug,72.2,2014
Rockford Area,Sep,62.6,2014
Rockford Area,Oct,51.3,2014
Rockford Area,Nov,31.9,2014
Rockford Area,Dec,30.5,2014
Rockford Area,Annual,46.0,2014
Rockford Area,Jan,20.8,2015
Rockford Area,Feb,12.1,2015
Rockford Area,Mar,34.6,2015
Rockford Area,Apr,51.0,2015
Rockford Area,May,61.5,2015
Rockford Area,Jun,69.3,2015
Rockford Area,Jul,72.4,2015
Rockford Area,Aug,71.1,2015
Rockford Area,Sep,69.0,2015
Rockford Area,Oct,54.1,2015
Rockford Area,Nov,43.3,2015
Rockford Area,Dec,37.7,2015
Rockford Area,Annual,49.7,2015
Rockford Area,Jan,22.9,2016
Rockford Area,Feb,29.7,2016
Rockford Area,Mar,42.9,2016
Rockford Area,Apr,49.3,2016
Rockford Area,May,60.9,2016
Rockford Area,Jun,71.7,2016
Rockford Area,Jul,74.9,2016
Rockford Area,Aug,74.5,2016
Rockford Area,Sep,69.3,2016
Rockford Area,Oct,56.7,2016
Rockford Area,Nov,45.8,2016
Rockford Area,Dec,23.8,2016
Rockford Area,Annual,51.9,2016
Rockford Area,Jan,27.5,2017
Rockford Area,Feb,36.8,2017
Rockford Area,Mar,38.8,2017
Rockford Area,Apr,53.2,2017
Rockford Area,May,58.5,2017
Rockford Area,Jun,71.5,2017
Rockford Area,Jul,74.0,2017
Rockford Area,Aug,69.3,2017
Rockford Area,Sep,66.5,2017
Rockford Area,Oct,55.5,2017
Rockford Area,Nov,37.3,2017
Rockford Area,Dec,24.6,2017
Rockford Area,Annual,51.1,2017
Rockford Area,Jan,21.0,2018
Rockford Area,Feb,24.4,2018
Rockford Area,Mar,36.0,2018
Rockford Area,Apr,40.4,2018
Rockford Area,May,66.0,2018
Rockford Area,Jun,71.2,2018
Rockford Area,Jul,72.8,2018
Rockford Area,Aug,72.7,2018
Rockford Area,Sep,66.5,2018
Rockford Area,Oct,49.5,2018
Rockford Area,Nov,32.3,2018
Rockford Area,Dec,30.8,2018
Rockford Area,Annual,48.6,2018
Rockford Area,Jan,18.1,2019
Rockford Area,Feb,22.0,2019
Rockford Area,Mar,33.7,2019
Rockford Area,Apr,49.3,2019
Rockford Area,May,58.2,2019
Rockford Area,Jun,69.3,2019
Rockford Area,Jul,77.5,2019
Rockford Area,Aug,71.5,2019
Rockford Area,Sep,68.5,2019
Rockford Area,Oct,49.9,2019
Rockford Area,Nov,33.3,2019
Rockford Area,Dec,32.6,2019
Rockford Area,Annual,48.7,2019
Rockford Area,Jan,28.3,2020
Rockford Area,Feb,26.5,2020
Rockford Area,Mar,40.9,2020
Rockford Area,Apr,47.6,2020
Rockford Area,May,59.4,2020
Rockford Area,Jun,73.3,2020
Rockford Area,Jul,76.9,2020
Rockford Area,Aug,73.9,2020
Rockford Area,Sep,63.3,2020
Rockford Area,Oct,49.4,2020
Rockford Area,Nov,45.6,2020
Rockford Area,Dec,31.4,2020
Rockford Area,Annual,51.4,2020
Rockford Area,Jan,26.6,2021
Rockford Area,Feb,15.6,2021
Rockford Area,Mar,42.8,2021
Rockford Area,Apr,52.5,2021
Rockford Area,May,60.8,2021
Rockford Area,Jun,75.5,2021
Rockford Area,Jul,74.8,2021
Rockford Area,Aug,75.1,2021
Rockford Area,Sep,68.9,2021
Rockford Area,Oct,57.9,2021
Rockford Area,Nov,38.6,2021
Rockford Area,Dec,34.9,2021
Rockford Area,Annual,52.0,2021
Rockford Area,Jan,16.8,2022
Rockford Area,Feb,25.0,2022
Rockford Area,Mar,39.4,2022
Rockford Area,Apr,46.0,2022
Rockford Area,May,63.5,2022
Rockford Area,Jun,71.2,2022
Rockford Area,Jul,74.0,2022
Rockford Area,Aug,72.1,2022
Rockford Area,Sep,64.5,2022
Rockford Area,Oct,51.2,2022
Rockford Area,Nov,40.2,2022
Rockford Area,Dec,26.3,2022
Rockford Area,Annual,49.2,2022
Rockford Area,Jan,28.9,2023
Rockford Area,Feb,29.9,2023
Rockford Area,Mar,36.7,2023
Rockford Area,Apr,49.2,2023
Rockford Area,May,61.5,2023
Rockford Area,Jun,69.6,2023
Rockford Area,Jul,72.7,2023
Rockford Area,Aug,71.6,2023
Rockford Area,Sep,67.0,2023
Rockford Area,Oct,52.9,2023
Rockford Area,Nov,M,2023
Rockford Area,Dec,M,2023
Rockford Area,Annual,54.0,2023
"Antioch, IL",Jan,24.1,2000
"Antioch, IL",Feb,31.3,2000
"Antioch, IL",Mar,43.6,2000
"Antioch, IL",Apr,46.8,2000
"Antioch, IL",May,61.2,2000
"Antioch, IL",Jun,67.1,2000
"Antioch, IL",Jul,70.5,2000
"Antioch, IL",Aug,71.1,2000
"Antioch, IL",Sep,64.1,2000
"Antioch, IL",Oct,55.9,2000
"Antioch, IL",Nov,37.4,2000
"Antioch, IL",Dec,15.2,2000
"Antioch, IL",Annual,49.0,2000
"Antioch, IL",Jan,23.1,2001
"Antioch, IL",Feb,24.2,2001
"Antioch, IL",Mar,32.4,2001
"Antioch, IL",Apr,51.1,2001
"Antioch, IL",May,60.5,2001
"Antioch, IL",Jun,67.4,2001
"Antioch, IL",Jul,73.4,2001
"Antioch, IL",Aug,73.7,2001
"Antioch, IL",Sep,60.8,2001
"Antioch, IL",Oct,51.1,2001
"Antioch, IL",Nov,47.9,2001
"Antioch, IL",Dec,33.2,2001
"Antioch, IL",Annual,49.9,2001
"Antioch, IL",Jan,29.7,2002
"Antioch, IL",Feb,31.6,2002
"Antioch, IL",Mar,31.7,2002
"Antioch, IL",Apr,47.9,2002
"Antioch, IL",May,53.2,2002
"Antioch, IL",Jun,69.7,2002
"Antioch, IL",Jul,76.3,2002
"Antioch, IL",Aug,72.5,2002
"Antioch, IL",Sep,66.4,2002
"Antioch, IL",Oct,49.1,2002
"Antioch, IL",Nov,36.6,2002
"Antioch, IL",Dec,28.7,2002
"Antioch, IL",Annual,49.5,2002
"Antioch, IL",Jan,18.9,2003
"Antioch, IL",Feb,21.2,2003
"Antioch, IL",Mar,34.1,2003
"Antioch, IL",Apr,45.5,2003
"Antioch, IL",May,55.2,2003
"Antioch, IL",Jun,64.9,2003
"Antioch, IL",Jul,71.6,2003
"Antioch, IL",Aug,73.4,2003
"Antioch, IL",Sep,63.4,2003
"Antioch, IL",Oct,50.2,2003
"Antioch, IL",Nov,40.7,2003
"Antioch, IL",Dec,30.5,2003
"Antioch, IL",Annual,47.5,2003
"Antioch, IL",Jan,17.8,2004
"Antioch, IL",Feb,25.5,2004
"Antioch, IL",Mar,40.3,2004
"Antioch, IL",Apr,49.1,2004
"Antioch, IL",May,57.4,2004
"Antioch, IL",Jun,65.8,2004
"Antioch, IL",Jul,70.3,2004
"Antioch, IL",Aug,66.6,2004
"Antioch, IL",Sep,67.0,2004
"Antioch, IL",Oct,52.6,2004
"Antioch, IL",Nov,42.2,2004
"Antioch, IL",Dec,25.9,2004
"Antioch, IL",Annual,48.4,2004
"Antioch, IL",Jan,21.9,2005
"Antioch, IL",Feb,30.8,2005
"Antioch, IL",Mar,32.8,2005
"Antioch, IL",Apr,50.4,2005
"Antioch, IL",May,55.9,2005
"Antioch, IL",Jun,73.1,2005
"Antioch, IL",Jul,72.9,2005
"Antioch, IL",Aug,73.2,2005
"Antioch, IL",Sep,68.6,2005
"Antioch, IL",Oct,53.1,2005
"Antioch, IL",Nov,40.0,2005
"Antioch, IL",Dec,21.7,2005
"Antioch, IL",Annual,49.5,2005
"Antioch, IL",Jan,33.0,2006
"Antioch, IL",Feb,25.2,2006
"Antioch, IL",Mar,35.6,2006
"Antioch, IL",Apr,51.6,2006
"Antioch, IL",May,58.6,2006
"Antioch, IL",Jun,66.7,2006
"Antioch, IL",Jul,75.3,2006
"Antioch, IL",Aug,73.1,2006
"Antioch, IL",Sep,61.5,2006
"Antioch, IL",Oct,47.3,2006
"Antioch, IL",Nov,42.1,2006
"Antioch, IL",Dec,31.4,2006
"Antioch, IL",Annual,50.1,2006
"Antioch, IL",Jan,26.4,2007
"Antioch, IL",Feb,15.7,2007
"Antioch, IL",Mar,39.6,2007
"Antioch, IL",Apr,44.9,2007
"Antioch, IL",May,62.6,2007
"Antioch, IL",Jun,69.8,2007
"Antioch, IL",Jul,71.8,2007
"Antioch, IL",Aug,73.1,2007
"Antioch, IL",Sep,66.2,2007
"Antioch, IL",Oct,57.5,2007
"Antioch, IL",Nov,38.0,2007
"Antioch, IL",Dec,24.7,2007
"Antioch, IL",Annual,49.2,2007
"Antioch, IL",Jan,22.2,2008
"Antioch, IL",Feb,19.6,2008
"Antioch, IL",Mar,30.8,2008
"Antioch, IL",Apr,48.7,2008
"Antioch, IL",May,54.2,2008
"Antioch, IL",Jun,68.7,2008
"Antioch, IL",Jul,M,2008
"Antioch, IL",Aug,M,2008
"Antioch, IL",Sep,M,2008
"Antioch, IL",Oct,M,2008
"Antioch, IL",Nov,M,2008
"Antioch, IL",Dec,M,2008
"Antioch, IL",Annual,40.7,2008
"Antioch, IL",Jan,M,2009
"Antioch, IL",Feb,M,2009
"Antioch, IL",Mar,M,2009
"Antioch, IL",Apr,M,2009
"Antioch, IL",May,M,2009
"Antioch, IL",Jun,M,2009
"Antioch, IL",Jul,M,2009
"Antioch, IL",Aug,M,2009
"Antioch, IL",Sep,M,2009
"Antioch, IL",Oct,M,2009
"Antioch, IL",Nov,M,2009
"Antioch, IL",Dec,M,2009
"Antioch, IL",Annual,M,2009
"Antioch, IL",Jan,M,2010
"Antioch, IL",Feb,M,2010
"Antioch, IL",Mar,M,2010
"Antioch, IL",Apr,M,2010
"Antioch, IL",May,M,2010
"Antioch, IL",Jun,M,2010
"Antioch, IL",Jul,M,2010
"Antioch, IL",Aug,M,2010
"Antioch, IL",Sep,M,2010
"Antioch, IL",Oct,M,2010
"Antioch, IL",Nov,M,2010
"Antioch, IL",Dec,M,2010
"Antioch, IL",Annual,M,2010
"Antioch, IL",Jan,M,2011
"Antioch, IL",Feb,M,2011
"Antioch, IL",Mar,M,2011
"Antioch, IL",Apr,M,2011
