created,title,body,sentiment
2009-12-28 00:00:00,Barron’s Asks: Is Burlington’s (BNI) Outlook A Warning?,"Barron’s noted that a pessimistic business forecast by Burlington Northern Santa Fe Corporation (NYSE: BNI) meant that economic activity would be less than robust in 2010 than many of the analyst estimates. Burlington got a merger proposal from Berkshire Hathaway Inc. (NYSE: BRK) in October and Barron’s noted that if Burlington’s outlook proved accurate then other major railroad stocks like CSX Corporation (NYSE: CSX), Norfolk Southern Corp. (NYSE: NSC) and Union Pacific Corporation (NYSE: UNP) could also see subpar results.",0
2010-01-27 00:00:00,Norfolk Southern Corp. (NSC) Profit Plunges,"Norfolk Southern Corp (NYSE: NSC), the nation's fourth largest railroad, posted a quarterly profit decline of 32% on Wednesday that was worse than Wall Street expected. The company posted a profit of $307 million, or 82 cents per share. Analysts had forecast earnings of 84 cents per share. Norfolk Southern has struggled as the weak economy has depressed freight volumes. Coal revenues fell 27% year-over-year as demand for the commodity, which is used to produce steel as well as electricity, remained sluggish. After closing the regular trading session up 1.37% to $50.43, shares of Norfolk Southern fell slightly after hours by 0.65% to $50.10.",0
2010-02-11 00:00:00,"Railroads Provide Early Leadership (CSX, UNP, NSC, KSU)","Railroads this morning are seeing strong gains across the board. CSX Corp. (NYSE: CSX) is up $1.57, or 3.64%, to $44.65; Union Pacific Co. (NYSE: UNP) is higher by $1.72, or 2.78%, to $63.43; Norfolk Souther Corp. (NYSE: NSC) is up $1.57, or 3.34%, to $48.56; and Kansas City Southern (NYSE: KSU) is trading higher by $1.35, or 4.45%, to $31.79. Railroads are seen as a bellweather of economic activity as they haul things from cars to chemicals to lumber. Weak transport volumes indicate that consumers and businesses are cutting back on investment and spending. Strength in rails usually provides strength to the overall market.",2
2010-03-18 00:00:00,Optimistic Reports From The Delivery Services Industry Bodes Well For This Transportation ETF,"“On Thursday FedEx (FDX) reported fiscal third-quarter earnings that topped already optimistic expectations. Earnings per share of 76 cents were more than double the 31 cents in the year-ago quarter and topped the average analyst estimate for 72 cents. The news follows last month’s fourth-quarter report from rival UPS (UPS), where earnings increased nearly threefold from a year ago,” Don Dion Reports From The Street. Dion goes on to say, “As good as FedEx’s earnings appeared to be, however, perhaps the more important element to the report was the company’s outlook and guidance for the near future. After reporting strength across all divisions, FedEx raised its EPS forecast for the current fiscal year from $3.75 to $3.80. Analysts have traditionally used the health of FedEx and UPS as a barometer for the broader U.S. economy because of the volume and diversity of the goods shipped by the companies. Impressive numbers like those released Thursday provide reassurance that the domestic and global economy remain on the road to recovery.” “When it comes to ETFs, the best way to play FedEx and the rest of the delivery services industry is through the iShares Dow Jones Transportation Average Index (IYT). Although IYT tracks all aspects of the U.S. transportation sector, FedEx and UPS have commanded the first and third positions since the index dropped Burlington Northern Santa Fe (BNI) at the start of the year. Together, the two competitors command 20% of the fund. Delivery services in general account for nearly a quarter of the fund’s total portfolio. This slice of the fund has nearly overtaken the rail industry, which today represents 27% of IYT. Prior to dropping BNI, railroads accounted for more than 30% of the ETF,” Dion Reports. See The Full Story: HERE We have put some details together on the iShares Dow Jones Transportation Average ETF (IYT) including it’s holdings below: The investment (IYT) seeks investment results that correspond generally to the price and yield performance, before fees and expenses, of the Dow Jones Transportation Average index. The fund uses a representative sampling strategy to try to track the index. The index measures the performance of the transportation sector of the U.S. equity market. The index includes companies in the following primary groups: airlines, trucking, railroads, air freight, transportation services and industrial services. It is nondiversified. Holdings Detail as of 3/17/2010 (Holdings subject to change) Symbol (FDX) FEDEX CORP 11.66 $61,995,855 – XNYS Delivery Services 1.00 (UNP) UNION PACIFIC CORP 9.10 $48,362,380 – XNYS Railroads 1.00 (UPS) UNITED PARCEL SERVICE-CL B 8.02 $42,606,796 – XNYS Delivery Services 1.00 (CHRW) C.H. ROBINSON WORLDWIDE INC 7.02 $37,306,658 – XNGS Trucking 1.00 (NSC) NORFOLK SOUTHERN CORP 7.01 $37,252,142 – XNYS Railroads 1.00 (CSX) CSX CORP 6.48 $34,448,538 – XNYS Railroads 1.00 (R) RYDER SYSTEM INC 4.98 $26,484,276 – XNYS Transportation Services 1.00 (LSTR) LANDSTAR SYSTEM INC 4.94 $26,237,732 – XNGS Trucking 1.00 (EXPD) EXPEDITORS INTL WASH INC 4.93 $26,180,220 – XNGS Delivery Services 1.00 (KSU) KANSAS CITY SOUTHERN 4.79 $25,454,507 – XNYS Railroads 1.00 (CNW) CON-WAY INC 4.79 $25,454,384 – XNYS Trucking 1.00 (JBHT) HUNT (JB) TRANSPRT SVCS INC 4.76 $25,283,843 – XNGS Trucking 1.00 (OSG) OVERSEAS SHIPHOLDING GROUP 4.50 $23,935,216 – XNYS Marine Transportation 1.00 (ALEX) ALEXANDER & BALDWIN INC 4.49 $23,875,278 – XNYS Marine Transportation 1.00 (GMT) GATX CORP 4.02 $21,384,985 – XNYS Commercial Vehicles & Trucks 1.00 (CAL) CONTINENTAL AIRLINES-CL B 2.96 $15,749,775 – XNYS Airlines 1.00 (LUV) SOUTHWEST AIRLINES CO 1.72 $9,149,471 – XNYS Airlines 1.00 (DAL) DELTA AIR LINES, INC. 1.40 $7,421,504 – XNYS Airlines 1.00 (AMR) AMR CORP 1.31 $6,951,388 – XNYS Airlines 1.00 (JBLU) JETBLUE AIRWAYS CORP 0.91 $4,829,261 – XNGS Airlines 1.00 – BLACKROCK FDS III 0.10 $515,061 – – S-T Securities 1.00 Related posts:Warren Buffetts Purchase Of Burlington Northern Provides Major Boost To The Transportation ETF The iShares Dow Jones U.S. Transportation Fund (IYT) Has Momentum Fed-Ex’s Gloomy Outlook Does Not Bode Well For This ETF (IYT)",1
2010-04-14 00:00:00,"Railroads Hit 52-Week Highs (CSX, UNP, KSU, NSC)","Shares of major U.S. railroads surged to new 52-week highs this morning after CSX (NYSE: CSX) reported first-quarter results that topped analysts' expectations. CSX said first quarter earnings rose 22 percent and said there was gradual and steady growth in the economy. CSX said demand improved from the automobile and energy markets. CSX shares are currently up $2.03, or 3.81%, to $55.31, which is a new 52-week high. Union Pacific (NYSE: UNP), Norfolk Southern Corporation (NYSE: NSC), and Kansas City Souther (NYSE: KSU) all hit fresh 52-week highs in early trading today.",2
2010-04-23 00:00:00,"Railroads Continue To Impress (UNP, CSX, NSC, KSU)","Railroads continue to post impressive earnings and share price gains. The nation's largest railroad, Union Pacific (NYSE: UNP), posted solid first quarter results on Thursday and shares closed up today 85 cents, or 1.11%, to $77.10, just shy of their 52-week high of $78.03. Stronger shipped demand helped boost UNP's first quarter earnings 43 percent year-over-year. While not back to 2008 levels, CEO Jim Young said he feels more optimistic about a recovery. CSX Corp. (NYSE: CSX) reported earnings on April 14 and management said the economic recovery is sustainable and they see double-digit earnings growth for the remainder of the year. Norfolk Southern (NYSE: NSC) and Kansas City Southern (NYSE: KSC) report first quarter earnings next week. Both are trading at, or right near, their respective 52-week highs. Since railroads tend to be a good gauge of the economy because of the variety of goods they ship-chemicals, autos, grain, lumber-their results suggest the economic recovery is real and gaining momentum.",2
2010-04-28 00:00:00,Railroad Results Show Recovery Is Indeed Real (NSC),"In case you were wondering if the economic recovery is real or not.... Instead of listening to analysts, pundits, talk show hosts, journalists, etc. opine on whether or not the recovery is real or whether we are headed for a double dip, why not get a more practical insight from somebody who can actually see what is going on at ground zero? I'm talking railroads! This evening after the market closed Norfolk Southern Corporation (NYSE: NSC) released its first quarter earnings results. Earnings were $257 million, or 68 cents per share in the quarter, compared with $177 million, or 47 cents per share, a year earlier. Analysts were looking for a profit of 66 cents per share. Revenue rose 15 percent to $2.22 billion, topping analysts' expectations of $2.11 billion. Norfolk Southern's intermodal segment rose 12 percent. This is important because many retail goods are shipped via intermodal, which includes transfers from trucks to ships. Also, revenue for Norfolk's general merchandise, which includes products from food to cars, rose 23 percent. The railroads haul what businesses and consumers demand. Shipping volumes have increased steadily since last Spring and improvements have continued through this month as well. Even more stunning were CEO Wick Moorman's comments during the conference call. He stated that Volumes continue to gain momentum, not only on a year-over-year basis, but also and perhaps more significantly on a sequential basis from the fourth quarter, which as you know, is almost unheard of in our industry. Consumers and businesses are spending again. Like they always say, The data doesn't lie; and what better data is there than railroad traffic?",2
2010-04-28 00:00:00,"Benzinga’s Top Downgrades (NSC, NOK, ARRS, BKCC, NTY)","Norfolk Southern Corp (NYSE: NSC) was downgraded by RBC Capital Markets from “outperform” to “sector perform.” NSC’s shares lost 2.36% to $59.65 by 9:50 am. NSC’s EPS is expected to fall by 38.94% this year. Nokia Corp (NYSE: NOK) was downgraded by RBC Capital Markets from “outperform” to “sector perform.” NOK’s shares shed 2.57% to $12.13 by 9:50 am. NOK’s EPS is expected to fall by 77.30% this year. Collins Stewart downgraded Arris Group Inc (NASDAQ: ARRS) from “buy” to “hold.” Shares of ARRS fell 2.83% to $12.38 by 9:50 am. ARRS has a 52 week range of $9.39-$13.75. BlackRock Kelso Capital Corp (NASDAQ: BKCC) has been downgraded by Stifel Nicolaus from “buy” to “hold”. BKCC had slipped 4.50% to $10.82 by 9:50 am. BKCC’s quarterly sales have declined by 13.95%. NBTY, Inc (NYSE: NTY) has been downgraded by Wedbush from “outperform” to “neutral.” NTY had gained 3.30% to $38.47 by 9:50 am. NTY’s EPS is expected to decline by 1.08% this year. More Analyst Ratings here.",0
2010-05-26 00:00:00,"Mad Money Lightning Round: Jim Gives Up On Alcoa, Prefers DOW Instead","Register for the LA Trader's Expo for Free Here! In his Mad Money Lightning Round on Tuesday, Jim said he has given up on Alcoa (NYSE: AA) and will not recommend the stock to investors. He preferred DuPont (NYSE: DD) and Dow Chemical (NYSE: DOW) instead, where the costs are falling. DD climbed 1.44% to $35.99 in after hours, while DOW jumped 3.51% to $27.73. Jim said that although Seabridge Gold (AMEX: SA) is ‘up on a real spike,’ he preferred SPDR Gold Shares (NYSE: GLD), as he liked to avoid mining risk whenever possible. GLD advanced 0.45% before closing at $117.36 yesterday. For Norfolk Southern (NYSE: NSC), Cramer said that he liked the rails, but Union Pacific (NYSE: UNP) continued to be his favorite in this sector. UNP slipped 0.83% to $68 yesterday. Cramer said that he did not want to give up on Wendy's/Arby's Group (NYSE: WEN). He advised traders to invest in Darden Restaurants (NYSE: DRI) also. WEN gained 1.60% to $4.45 in after hours and DRI climbed 0.14% to $41.70. When asked about Delcath Systems (NASDAQ: DCTH), Jim disclosed that he believed in any company that had made a breakthrough in cancer research. This was the reason why he also liked Dendreon (NASDAQ: DNDN). DCTH advanced 3.84% to close at $15.13 yesterday. After falling 0.77%, DNDN closed at $42.80, but the stock climbed 1.05% to $43.25 in after hours. Cramer said that Linn Energy (NASDAQ: LINE) is largely dependent on hedges on natural gas and, therefore, he would rather prefer Kinder Morgan Energy Partners (NYSE: KMP) that has made a lot of money for people. KMP traded at $61.77, up 0.03% in after hours. To see more trading ideas, click here.",1
2010-06-03 00:00:00,Puts Purchased on Norfolk Southern (NSC),"Shares of Norfolk Southern Corp. (NYSE: NSC) are lower on the session by 0.76%, currently trading $56.26. The stock has been drifting lower over the past three weeks, breaking through the 50-day moving average to the downside. It is struggling to regain that level in today’s trade. Options traders are buying puts on the name today with the July $50 put purchased 1,300 times on open interest of 54 contracts and the July $55 put purchased 907 times on open interest of 92 contracts. This suggests new, bearish positioning. Put volume is now running at 3.01x the daily average with 99% of all puts traded being purchases on the offer. Norfolk Southern Railway Company is primarily engaged in the rail transportation of raw materials, intermediate products, and finished goods primarily in the Southeast, East, and Midwest and, through interchange with rail carriers, to and from the rest of the United States.",1
2010-06-03 00:00:00,Sellers Packed Up Their Tents  06-03-2010,"Cusick’s Corner While the market challenges long-term resistance, 200-Day Moving Average SPX 1105.5, traders are waiting for tomorrow’s Unemployment number which is estimated at 500K. This rally is in the face of a declining Euro and bullish EU market, a potential indicator that the sellers have packed in their tents at this stage. Keep a close eye on the new support levels, 107 on the SPY and 1105 on the ESM10, if they turn over -- the shorts could take control and the downtrend could continue. Watch the pre-market futures, ESM10, to get a feel for opening sentiment into the Employment data due out at 8:30am ET. See you Midday. Stocks finished modestly higher following a round of mixed economic news Thursday. Data released early showed weekly jobless claims falling a better-than-expected 10,000 in the most recent period. Economists were looking for a smaller 5,000 drop. However, ADP said the economy added 55,000 private sector jobs in May. Economists were looking for the ADP report to show an increase of 60,000. The mixed jobs data seemed to cause some confusion ahead of Friday’s key monthly jobs report. But, with overseas markets rallying, the Dow Jones Industrial Average was able to forge modest gains at the open. However, selling pressure surfaced mid-morning after two separate reports showed the ISM Services Index unchanged at 55.4 in May and Factory Orders up 1.2 percent in April. Economists were looking for 55.7 from ISM and 1.7 percent increase in orders. The major averages slipped on the data and were in the red midday. However, the whipsaw action continued Thursday afternoon and, by the closing bell, the Dow Jones Industrial Average was up 5. The tech-heavy NASDAQ added 22. Bullish Flow Fortinet (FTNT), a thinly traded Santa Ana, CA computer component manufacturer, saw interesting options action Thursday. Shares lost 22 cents to $15.78 and options volume surged to 56X the recent average daily levels. 6,700 calls and only 65 puts traded in the name. September 15 calls were the most actives with 4,510 changing hands. September 17.5, December 15 and December 17.5 calls were busy as well, with nearly 90 percent of the total call volume traded at the asking price. Interestingly enough, there were no big trades in the name. The biggest was a lot of 92 September 17.5 calls at the 75-cent asking price. Overall, it looks like speculative call buyers were taking positions in this stock and, for whatever reason, looking for shares to move higher in the months ahead. Hologic (HOLX), Las Vegas Sands (LVS), and Exelixis (EXEL) also had bullish order flow. Bearish Flow Rowans Companies (RDC), a Houston-based offshore driller, came under fire after the Washington Post reported that Mineral Management Services stopped issuing permits for drilling in the Gulf, including in shallow waters. Later, the Interior Department denied the report and said drilling in shallow waters could continue in certain situations. RDC hit a low of $21.66 when the initial report made the rounds, but finished down 89 cents to $23.79 and almost 10 percent from session lows. 15,000 puts and 7,200 calls traded, as players in the options market reacted to the day’s volatility in RDC. Bearish flow also picked up in Tellabs (TLAB), Norfolk Southern (NSC), and Continental Resources (CLR). Index Trading Volume has been light in the index market in recent days. Thursday, for example, about 363,000 calls and 560,000 puts traded across the S&P 500 Index (.SPX) and other index products. The volume represents only 56 percent of the recent average daily volume. Meanwhile, the CBOE Volatility Index (.VIX) lost .71 to 29.46. The declining index volume and easing VIX indicates that fewer portfolio managers are buying index puts to protect portfolios. Not everyone thinks the market is out of the woods, however. Some of the biggest index trades Thursday were bearish spreads on the S&P 500, including SPX June 950 – 925 put spreads, 18100X, and SPX June 1050 – 1000 puts spreads, 9500X. ETF Trading US Natural Gas Fund (UNG) gained 46 cents to $8.01 after natural gas inventory data helped fuel gains in natural gas Thursday. Gas prices (July) rose 27 cents to $4.69. Meanwhile, in UNG, which is an exchange-traded fund that tracks natural gas through futures contracts, options volume rose to 3X the recent average daily, with 165,000 calls and 48,000 puts traded. June and July 8 calls were the most actives, with more than 40,000 traded in each.",1
2010-06-04 00:00:00,Keep Tight Risk and Capital Management  06-04-2010,"Cusick’s Corner The trader in me is throwing my arms up, or at the very minimum not holding a bias. If I am in the market then I am trading, meaning tight risk and capital management. I expect this whippy action to continue into the After Hours. Watch the key levels that I discussed last night (check out the www.xpoundblog.com). If we break support and continue with the negative headlines, watch out for the shorts. See you After Hours. Stocks are trading broadly lower following a disappointing May jobs report. Stock index futures had already fallen into the red before the jobs data after European markets suffered another round of losses, led by a 2.6 percent drop in France’s CAC 40 Index. Stocks sold off across Europe amid ongoing concerns about the European Debt Crisis after Hungary’s ruling party warned that it faces a debt crisis similar to Greece. The news sent the euro tumbling towards 1.20 against the buck by midday Friday. Focus was also on jobs data after the Labor Department reported that the US economy added 431,000 payrolls in May, which was due largely to temporary and government jobs and was much less than the 500,000 increase that economists had expected. In all, the US economy added a dismal 41,000 private sector jobs last month and the unemployment rate edged down to 9.7 percent from 9.9 percent. The tone of trading turned bearish and the Dow Jones Industrial Average is now down 212 points. The NASDAQ lost 42. In the options market is on the light side and defensive, with 2.6 million calls and 2.5 million puts traded at 11:30ET. Bullish Some of the managed care names are seeing relative strength and increasing options action Friday. Aetna (AET) is one of them. Shares are up 43 cents to $30.85 and more than 6,500 calls traded in the name, or double the recent average daily call activity in the name. June 32 calls are the most actives. 2,355 changed hands and, with 91 percent trading at the asking price, it looks like call buyers are dominating the action. June 31 calls are seeing similar action. Overall, the strength in the shares and the focus on June calls seems to reflect a bullish short-term view, as June options expire in two weeks. Meanwhile, WellPoint (WLP), another managed care company, is seeing action in its June call options as well. Shares are up $1.32 to $55.77 and June 57.5 calls are the most actives. 4,520 traded (72 percent Ask). Another 3,555 June 55 calls and 939 July 57.5 calls also changed hands. There is no specific news to explain the action in AET or WLP, but Healthnet (HNT), United Healthcare (UNH), and Cigna (CI) are seeing some interest on Friday as well. Looks like a sector play. Bearish Norfolk Southern (NSC) lost $2.28 to $54.52 and options volume is 4X the average daily, led by apparent buyers of June 55 puts. 5,150 changed hands. The top trades include blocks of 1,691 and 1,369 contracts at the $1.65 asking price. The July 50 and 55 puts saw interest yesterday. The action created almost 2,000 new open interest in puts on the railroad company. It isn’t clear what’s driving the action over the past two days, but implied volatility has risen 11 percent to 39.5 and it appears that some investors are bracing for additional losses in shares of NSC over the next two weeks. AK Steel (AKS) is down 73 cents to $13.75 amid relative weakness in the sector of Goldman Sachs removes US Steel (X) from its Conviction Buy List. AKS options volume includes a block of 2,300 Jan 14 calls at the $2.28 bid price and 1,841 Jan 15 calls at the $2.05 bid price. Looks like premium sellers liquidating positions and looking for shares to hold around these levels, or below, through the rest of 2010. Unusual Volume Movers Tellabs (TLAB) options volume is running 4X the usual, with 20,000 contracts traded and put volume accounting for about 58 percent of the activity. Goodyear Tire (GT) options activity is running 4.5X the usual, with 14,000 contracts traded and call volume representing 98 percent of the volume. Xilinx (XLNX) options volume is running 3X the usual, with 10,000 traded and call volume representing 95 percent of the activity. Medicines Company (MDCO), Atlas Energy (ATLS), and AES also had unusual volume. Implied Volatility Movers AOL implied volatility is elevated after a story circulated that the company is negotiating an eventual sale to Microsoft (MSFT). Shares are up 51 cents to $21.51 and options action is picking up, with 5,740 calls and 290 puts traded so far. Implied volatility is running to about 50, which was about 45 the day before.",1
